Filename,DES_Size,DES_Complexity,DES_Design Smells,SCC_LOC,SCC_CLOC,SCC_COMPLEXITY,ARCH_Revisions,ARCH_Dependent Partners,ARCH_Depends on Partners,ARCH_Total Dependencies,ARCH_CoChange Partners,ARCH_Bug Commits,ARCH_Churn,DV8_LOC,DV8_TargetChangeCount,DV8_TargetChurn,DV8_ChangeCount,DV8_ChangeChurn,DV8_TotalIssues,DV8_Clique,DV8_Crossing,DV8_IsCenter,DV8_ModularityViolation,DV8_PackageCycle,DV8_UnhealthyInheritance,DV8_UnstableInterface,DV8_isUnstableInterface,DV8_PresentInIssues,SQ_Issues,SQ_CodeSmells,SQ_Bugs,SQ_Vulnerabilities,SQ_SecuritySpots,S101_Fat,S101_ClassTangles,S101_PkgTangles
tez-api.src.main.java.org.apache.tez.dag.api.TezConfigurationConstants_java,16,0,2,55,20,0,1,1,5,6,0,0,55,20,0,0,1,55,2,1,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.dag.api.TezConfiguration_java,830,13,2,2023,951,11,62,103,5,108,25,27,1006,1000,26,372,56,1060,17,1,5,0,2,6,0,3,1,5,15,14,1,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.dag.api.TezConstants_java,66,2,2,132,51,0,7,26,1,27,4,2,47,51,2,18,6,36,12,1,2,0,4,3,0,2,0,5,1,1,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.dag.api.TezException_java,15,3,1,34,11,0,0,91,0,91,0,0,0,11,0,0,0,0,5,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.dag.api.TezReflectionException_java,12,3,2,35,13,0,1,6,1,7,0,1,35,13,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.dag.api.TezUncheckedException_java,15,3,1,36,11,0,0,83,0,83,0,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.dag.api.UserPayload_java,62,10,0,108,51,9,1,65,0,65,0,1,11,51,1,11,1,11,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.dag.api.VertexGroup_java,86,22,1,152,89,18,0,5,7,12,0,0,0,89,0,0,0,0,1,1,0,0,0,0,0,0,0,1,5,5,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.dag.api.VertexLocationHint_java,49,13,0,85,52,17,0,16,1,17,0,0,0,52,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.dag.api.VertexManagerPluginContext_java,166,31,2,375,91,1,7,14,9,23,3,4,115,91,4,60,7,115,5,0,1,0,0,2,1,1,0,4,4,4,0,0,0,0,0,0
